Question	Answer
What should I do for more IDO allocation rights	As you move up in the staking pools, the amount of allocation deserved increases. therefore, it is enough to move your staking pool to the next level for more participation rights.
My tokens in my wallet have disappeared, I think they have been transferred to a different wallet	You may have been harmed by a fraudulent activity. NEVER link your wallet to unfamiliar Sites and apps. The Binstarter team will never ask you for your private information, wallet information, nor will they contact you directly. we advise you to be very careful in this regard.
Can we stake the locked coins of the projects	No, unfortunately, it is not possible to be used in any operation, as locked coins are not yet available.
Where can I see the IDO calendar?	All the details of the projects are available on our site. You can find this information at https://bsr.binstarter.io/ido/projects
I received free tokens, what is it?	There may be a fraudulent activity, please be very careful. NEVER link your wallet to unfamiliar Sites and apps. The Binstarter team will never ask you for your private information, wallet information, nor will they contact you directly. we advise you to be very careful in this regard.
How does the insurance protocol work?	Binstarter is the first insurance -supported Launchpad in the industry. There are 2 different insurance protocols on our platform. The first Protocol protects our esteemed user from unfair public offering operations, while in our second protocol, it protects you from market conditions. More detailed information about this subject can be found at https://blog.binstarter.io/eip/.
Why $BSR is going down?	There are many factors why the price fluctuates but it is mainly due to overall market condition, even Bitcoin which is the lead digital currency experiences this. Rest assured, we are taking the necessary steps to increase the value of $BSR.
When token burn?	There is no exact date to do this but there will be an announcement in the event that we will undergo such activity.
Who should I contact for a partnership/ recruitment/ IDO proposal?	Please reach us @Bryan_BinStarter on telegram or email us directly at bryan@binstarter.io  Please reach us @Angel_BinStarter on telegram or email us directly at angel@binstarter.io
Total supply of bsr	You may refer to https://coinmarketcap.com/currencies/binstarter/ to know $BSR supply details or check out our Whitepaper.
Total BSR circulating supply	http://binstarter.com/api/c_supply.php
Is it ok to stake it for long or is there a minimum stake time can i leave my stake for long?	Yes, it is absolutely okay. Once you stake, your BSR will continue to stake unless you start the unstaking process by pressing the unstake button. Once you have done this, you will no longer be eligible to participate in IDOs, but you will continue to receive staking rewards during and after the unstaking process, up until their BSR is withdrawn. At the end of the lock period, you may transfer your $BSR back to your wallet. 
BSR Tier	Tier 1 — min 1000 BSR — Lock Period 7 days — 1x Guaranteed Allocation — 11% APY Tier 2 — min 2000 BSR — Lock Period 14 Days — 2x Guaranteed Allocation — 20% APY Tier 3 — min 4000 BSR — Lock Period 21 Days — 4x Guaranteed Allocation — 40% APY Tier 4 — min 8000 BSR — Lock Period 30 Days — 8x Guaranteed Allocation — 65% APY Tier 5 — min 16000 BSR — Lock Period 60 Days — 16x Guaranteed Allocation — 90% APY Tier 6 — min 32000 BSR — Lock Period 90 Days — 32x Guaranteed Allocation — 110% APY Tier 7 — min 64000 BSR — Lock Period 120 Days — 64x Guaranteed Allocation — 130% APY Tier 8 — min 128000 BSR — Lock Period 150 Days — 128x Guaranteed Allocation — 160% APY
Where and how to buy $BSR?	You can buy $BSR from PancakeSwap found on this link https://pancakeswap.finance/swap. You may refer to this guide on how to do it https://support.binstarter.io/article/10-how-to-buy-bsr-from-pancakeswap.
Do you have an FAQ page?	Yes, you may visit this link https://support.binstarter.io/. 
Whitelist requirements?	You need to stake your $BSR and click on the Join Whitelist button on the project's page on our site. You may refer to this guide for more details https://support.binstarter.io/article/9-how-to-participate-in-an-ido.
I joined an IDO but no allocations was given.	It should appear on your ""My Allocations"" tab. It will appear on TGE and announcement will be made at BinStarter Official Telegram https://t.me/BinstarterOfficial.
Gleam contest	Gleam announcements are pinned in our Official Telegram https://t.me/BinstarterOfficial. If you can provide for me the project name you are interested in, I can forward to you the Gleam Announcement for that particular project.
When Gleam Result is announced?	It will be announced before the IDO starts. Please check the pinned post for Gleam related announcements.
How much $BSR do I need to hold to participate in IDO?	You need to stake at least 1000 $BSR in Pool 1 to have a chance to participate in an IDO but it's not a guaranteed allocation, it will be a lottery-based system. For more details on how to participate in an IDO, refer to this guide https://support.binstarter.io/article/9-how-to-participate-in-an-ido.
How much should I stake for guaranteed allocation? 	Each pool has different staking requirements, you can see these below:  Tier 1 — min 1000 BSR — 1x Guaranteed Allocation Tier 2 — min 2000 BSR — 2x Guaranteed Allocation Tier 3 — min 4000 BSR — 4x Guaranteed Allocation Tier 4 — min 8000 BSR — 8x Guaranteed Allocation Tier 5 — min 16000 BSR — 16x Guaranteed Allocation Tier 6 — min 32000 BSR — 32x Guaranteed Allocation Tier 7 — min 64000 BSR  — 64x Guaranteed Allocation Tier 8 — min 128000 BSR  — 128x Guaranteed Allocation
Do I need to perform KYC to particpate in IDO?	KYC might be necessary for some of the IDOs at Binstarter so better to complete KYC to not miss any opportunity.
Summary of joining IDO	Participants will join pools on BinStarter by staking $BSR and joining whitelist. According to the tier system, the more $BSR you stake, the more allocation you get.
How can I apply for whitelist? 	You can do it from IDO Projects found on this link https://bsr.binstarter.io/ido/projects by clicking Join Whitelist and stake $BSR. You may refer to this guide https://support.binstarter.io/article/8-how-to-join-a-whitelist for the complete instruction.
Can I join the Whitelist without staking BSR?	Yes! You can try to participate in the Gleam contest or the FCFS round.
I applied whitelist for the last IDO. Do I have to do it again?	Yes, you are required to join whitelist every time you participate in an IDO.
How do I check if I am selected in the lottery or not?	You can check the result from IDO Projects found on this link, https://bsr.binstarter.io/ido/projects. Click the project you have applied whitelist for and you will see a label "Whitelisted" if you are whitelisted from any of the pools.
What's the accepted currency for an IDO? ETH, BNB, USDT or BUSD?	It varries per project, to know the currency the project runs visit IDO Projects found on this link https://bsr.binstarter.io/ido/projects. The currency is indicated for every project.
What are the upcoming IDOs?	We regularly update the projects from IDO Projects found on this link, https://bsr.binstarter.io/ido/projects. You may check the upcoming projects there.
What time is the listing?	The listing time depends on the project. The listing for <Project Name> is <date>. For complete details about the IDO schedule, please visoit <provide gleam link>
Token will be claim or Airdrop?	Token will be airdropped, for complete details please refer to this announcement <forward Airdrop Announcement>
Is it before listing or after listing to claim their purchase tokens?	Distribution is always after the listing. An announcement will be made in our Official Telegram https://t.me/BinstarterOfficial.
If the token is refunded is it full amount?	This will depend on the specific scenario of each project. Refund can either be full or partial. For partial refund, it will only refund for the remaining vesting period from the time the insurance protocol is triggered.
Is the refund in BUSD or specific tokens? 	This will depend on the network of the project the refund is for. To check the network, navigate to IDO projects found on this link https://bsr.binstarter.io/ido/projects and the network will be displayed 
What is exact value of BSR total supply	Total supply is around 100M BSR.
Computation of market cap	Could go visit coinmarketcap website
Where can I see my allocation?	Navigate to My Allocations page found on this link https://bsr.binstarter.io/my-allocations.
I have already purchased the tokens but I do not see my tokens.	After buying a token, you need to claim it. Please wait until the claim time starts, then claim your token and you will find the tokens in your wallet. You can find your allocations and claim your tokens from My Allocations page found on this link https://bsr.binstarter.io/my-allocations.
What is the deadline to claim the tokens?	You can claim any time after claimable time. There is no time limit for claiming. 
I have claimed my tokens but I couldn't see it. I cannot see my refund.	Verify first whether the token had been sent or not from below explorers before raising it to Marketing group. Just paste the address and verify whether the transaction is there or not. https://bscscan.com/ https://etherscan.io/ https://polygonscan.com/ https://snowtrace.io/
How can i see how many token i've purchased	It should appear on your "My Allocations" tab.  If it is not reflected there yet. Try to refresh the website or wait for a while it should appear there shortly after.
What does this partnership means?	It means we will help each other through our connections. We can refer projects to each other. They may also offer services that we need and vice versa. Basically it's the two projects working together.
so I have staked 8k in pool 4? the day of the IDO I would just go to pool 4 to purchase my allocation?	please do not forget to click on "join Whitelist" button on the project page that you plan to join IDO.  (can buy from pool 4 as soon as ido starts)
What is perp swap? 	Perpetual "Perp" swaps are derivatives that let you buy or sell the value of something (that something is usually called an “underlying asset”) with several advantages: 1) there is no expiry date to your position (i.e., you can hold it as long as you want), 2) the underlying asset itself is never traded (meaning no custody issues), and 3) the swap price closely tracks the price of the underlying asset, and 4) it’s easy to short.
want to buy again from fcfs?	FCFS round can only participate once per wallet. If he wants to buy it for the 2nd time, he needs another wallet.
How much allocation $ can I get for staking 2k BSR?	IDO Allocations + Details will be announced before IDO date.
If we receive tokens after 30 mins or 1 hour it's not useful for us end up with dumping and almost below ido price?	We have an Insurance Protocol mechanism wherein if our community is disadvantaged in the IDO/Listing process, the insurance system kicks in and our community is directly refunded.
Do you think I can just move to higher pools when I added more BSR?    	As of the moment there is no option to move to higher pools in an instant. You have to unstake it first, wait for the timer to finish, then you can restake your BSR.
whats your vesting period?	Vesting period, also called token lockup period, refers to a period of time in which the tokens sold in the pre-sale of IDO stage are prevented from being sold for a specific period of time.
when my timer starts during the unstaking process can I still receive APY rewards?	You will continue to receive APY rewards during and after the unstaking process, up until their BSR is withdrawn.
Is there any disadvantage of pressing the unstake button?
 
 	Allocation rights will be forfeited as soon as you start the unstake process. After unstaking, stakers cannot reverse the process or add more stake to the pool.
How to join yield farming?	Here's the link of the step by step instruction on how to join Yield Farming https://support.binstarter.io/article/19-yield-farming
What's the disadvantage of pressing the unstake button?	The disadvantage is you can't join upcoming IDO once the unstaking is on process
How to qualify for the referral bonus?	Referrers can share their referral link without having any conditions met. You may copy your referral link found on My Profile page. For more information, visit https://support.binstarter.io/article/20-referral-program.
What do I receive for successfully referring new users to the Binstarter.io?	You will be qualified to receive up to 1% BSR from the Referee's BSR staked amount. If the Referee has multiple staking transactions within a year then the Referrer will be qualified for a reward for each transaction.  Your reward rate will be depending on the link that you choose to share with the Referee.
I mistakenly chose Option 1 for the referral program. Is it possible to have it changed to Option 2?	Unfortunately, no. Once the link is shared and the referee started staking, the rewards option cannot be changed. 
What is EIP and how does it work?	Extended Insurance Protocol (EIP) is a next-level specialized insurance protocol that constantly evaluates the performance of the project in the TGE and keeps evaluating the price of the token during the entire vesting schedule, and is activated when the price of the token remains below the IDO price 5 days in a row.  Refer to this blog to learn more about EIP - https://blog.binstarter.io/eip/
What will happen if the token price remains below the IDO price for 4 consecutive days then moves upper than the IDO price for the last day and again goes below on the following day?	If the price remains higher than the IDO price for 24 Hours, the EIP will not be activated and the countdown will restart.
Let’s say I’m going to be collecting 100 tokens according to this example. I took 25 tokens in TGE and 25 tokens in the first vesting but I did not claim it, and in the next vesting period the EIP is activated, is it possible to get all my funds refunded?	In this scenario, we will get %50 since holding or selling the tokens was the investor’s choice.
Is this Protocol applicable to all the projects?	You can see the projects that are involved with the EIP sticker in the “IDO PROJECTS” section found on this link https://bsr.binstarter.io/ido/projects
Who can Benefit from the EIP?	All $BSR holders have the right to attend the IDOs with an EIP sticker
What will happen with the new tax for early rewards claiming (1%-30%)? What will it be used for?	The deducted tax amount will be added in the staking reward pool.
If I claimed my rewards on the 31st day, will I be charged for tax?	The early reward withdrawal tax fee which is 30% decreases by %1 per day if the reward is not claimed. Since it exceeded the number of days, there will be no tax.
How much reward will I get for the referral program?	Your reward rate will be depending on the link that you choose to share with the Referee. For detailed information, please check this page https://support.binstarter.io/article/20-referral-program
